동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
여름이되면 에어컨이 가동돼 냉방이 잘된 실내와 햇볕이 쨍쨍 내리쬐는 외부와의 출입이 반복된다.	여름이 되면 에어컨이 가동돼 냉방이 잘된 실내와 햇볕이 쨍쨍 내리쬐는 외부와의 출입이 반복된다.
1990년대에 들어서 사람들의 삶이 이전보다 훨씬 풍족해졌다.	1990년대 들어서 사람들의 삶이 이전보다 훨씬 더 풍족해졌다.
왕밍씨가 앤디씨한테서 책을 받았어요.	왕밍 씨가 앤디 씨한테서 책을 받았어요.
밥 차리기 귀찮아서 그냥 굶어버렸어여.	밥 차리기 귀찮아서 그냥 굶어 버렸어요.
옛날에는 배 아플때 엄마가 배를 쓰다듬어주면 나앗었어여어.	옛날에는 배 아플 때 엄마가 배를 쓰다듬어 주면 나았었어요.
거리가 먼 대신에 교통이 편리해서 쉽게 갈 수 이써써요.	거리가 먼 대신에 교통이 편리해서 쉽게 갈 수 있었어요.
어제 줄리아씨는 수업은 안듣고 잠만 잤어요.	어제 줄리아 씨는 수업은 안 듣고 잠만 잤어요.
줄리아씨는 어느 나라에서 살고싶어요.	줄리아 씨는 어느 나라에서 살고 싶어요.
오늘 생일 파티를 할 예정이니 고기를 구어가지고 오세여.	오늘 생일 파티를 할 예정이니 고기를 구워 가지고 오세요.
아침에 눈이 많이 왔더군여.	아침에 눈이 많이 왔더군요.
그는 얘기도 듣기전에 신경질부터 내려고 든다.	그는 얘기도 듣기 전에 신경질부터 내려고 든다.
저 인간은 어디를 다니든지 꼭 일을 만들고 다닌다니까 하여튼 혼자 놔두면 안될 인간이야.	저 인간은 어디를 다니든지 꼭 일을 만들고 다닌다니까 하여튼 혼자 놔두면 안 될 인간이야.
영수씨는 농구를 좋아하지만 잘 하지 못해요.	영수 씨는 농구를 좋아하지만 잘하지 못해요.
노래하는 대신에 춤을 출거에요.	노래하는 대신에 춤을 출 거예요.
졸려서 커피를 마실까봐여.	졸려서 커피를 마실까 봐요.
지금 교수님께서 식사하고 계실테니 나중에 전화드리자.	지금 교수님께서 식사하고 계실 테니 나중에 전화 드리자.
나는 국수를 먹으면 금방 배고프던데 너는 안그래?	나는 국수를 먹으면 금방 배고프던데 너는 안 그래?
정부의 집 값 안정정책에도 불구하고 수도권 재개발지구를 중심으로 투기 과열 현상이 나타나고 있다.	정부의 집값 안정정책에도 불구하고 수도권 재개발 지구를 중심으로 투기과열 현상이 나타나고 있다.
줄리아씨가 입학 서류를 미리 준비 해 놔서 다행이에요.	줄리아 씨가 입학 서류를 미리 준비해 놔서 다행이에요.
영화가 시작했을까봐 택시를 타고왔어요.	영화가 시작했을까 봐 택시를 타고 왔어요.
후배가 이 회사 저 회사 면접을 보러 다니더니 다 떨어졌데요.	후배가 이 회사 저 회사 면접을 보러 다니더니 다 떨어졌대요.
마이클씨가 그 문제를 풀 수 있을까요.	마이클 씨가 그 문제를 풀 수 있을까요.
오랜시간이 지나도 그녀의 이런 애교스러운 말투는 변치않는 그녀의 매력으로 남을 것이다.	오랜 시간이 지나도 그녀의 이런 애교스러운 말투는 변치 않는 그녀의 매력으로 남을 것이다.
중국의 자유 경제 체제의 도입에 대해 전문가들 사이에서는 이제 계획 경제 체제가 붕괴될 것이라고 분석이 조심스럽게 나오고 있다.	중국의 자유 경제 체제 도입에 대해 전문가들 사이에서는 이제 계획 경제 체제가 붕괴될 것이라고 분석이 조심스럽게 나오고 있다.
부장이 그 사원에게 업무처리에 대해 대학 나온 놈이 이 정도밖에 못하느냐고 모욕을 주었다.	부장이 그 사원에게 업무 처리에 대해 대학 나온 놈이 이 정도밖에 못하느냐고 모욕을 주었다.
김 부장은 입사한 지 10년 동안 초특급 승진을 하며 상승가도를 달려 왔지만 그만 교통사고를 당해 죽고 말았다.	김부장은 입사한 지 10년 동안 초특급 승진을 하며 상승가도를 달려왔지만 그만 교통사고를 당해 죽고 말았다.
아니요 등산을 해 본적이 없어요.	아니요 등산을 해 본 적이 없어요.
화재로 인한 문화제의 피해가 생각보다 심각하다.	화재로 인한 문화재의 피해가 생각보다 심각하다.
저는 6월에서부터 9월까지 미국을 여행할꺼에여.	저는 6월에서부터 9월까지 미국을 여행할 거예요.
거의 열에 아홉이 썩었다.	귤이 열에 아홉이 썩었다.
생일선물을 받아서 기분이 좋겠어요.	생일 선물을 받아서 기분이 좋겠어요.
도서관은 소장 자료를 데이터베이스로 구축하고 이용자가 검색 시스템을 이용하여 온라인으로 검색할 수 있도록 한다.	도서관은 소장자료를 데이터베이스로 구축하고 이용자가 검색시스템을 이용하여 온라인으로 검색할 수 있도록 한다.
할아버지 도착하시거든 전화 해 주세요.	할아버지 도착하시거든 전화해 주세요.
마이클씨는 매일 열심히 공부하는데 앤디씨는 매일 놀아요.	마이클 씨는 매일 열심히 공부하는데 앤디 씨는 매일 놀아요.
평범한 샐러리맨이 어느 날 자고 일어나니 억세게 운 좋아 로또 대박을 맞은 것 쯤으로 생각하면 오해다.	평범한 샐러리맨이 어느 날 자고 일어나니 억세게 운좋아 로또 대박을 맞은 것쯤으로 생각하면 오해다.
줄리아씨는 한국에서 10년이나 살았으니 한국어를 잘하기야 하겠지요.	줄리아 씨는 한국에서 10년이나 살았으니 한국어를 잘하기야 하겠지요.
세살버릇 여든까지 간다라는 말이있듯이 어릴때 어떤습관을 기르느냐가 무엇보다 중요해요.	세 살 버릇 여든까지 간다라는 말이 있듯이 어릴 때 어떤 습관을 기르느냐가 무엇보다 중요해요.
이 사과는 오천원에 네개에요.	이 사과는 오천 원에 네 개예요.
커피를 마시지 않을께요.	커피를 마시지 않을게요.
국제 정세 변화는 그동안 사회과학 전반을 휩쓸었던 진보사회이론에 대한 열기를 급속도로 냉각시켰다.	국제 정세 변화는 그 동안 사회과학 전반을 휩쓸었던 진보 사회이론에 대한 열기를 급속히 냉각시켰다.
토양내 영양분이 많은 곳에 농약이 과다하게 살포되어 수확기에 도복하는 사례를 많이보게된다.	토양내 영양분이 많은 곳에 농약이 과다하게 살포되어 수확기에 도복하는 사례를 많이 보게 된다.
위 학생은 성적이 우수함으로 이에 상장을 수여함.	위 학생은 성적이 우수하므로 이에 상장을 수여함.
한국어를 공부하고 보니 한국에 대해 잘 알게? 어요.	한국어를 공부하고 보니 한국에 대해서 잘 알게 됐어요.
명동에서 친구를 만나고 옷을 살거에요.	명동에서 친구를 만나고 옷을 살 거예요.
저는 늦을 것 같으니까 흐엉씨 먼저 출발할래에여?	저는 늦을 것 같으니까 흐엉 씨 먼저 출발할래요?
숙제 해놓아야지 마음 편히 놀지.	숙제해 놓아야지 마음 편히 놀지.
남편이 내 얘기를 잘 안들으려고 들어서 속상해요.	남편이 내 얘기를 잘 안 들으려고 들어서 속상해요.
새 책이 아닐 경우에 서점에 가서 바꿔달라고 하세요.	새 책이 아닐 때 서점에 가서 바꿔 달라고 하세요.
요즘 실혼을 살펴보면 불필요한 정쟁을 줄이고 민생안정을 도모하자는 의견이 많은 듯 하다.	요즘 시론을 살펴보면 불필요한 정쟁을 줄이고 민생 안정을 도모하자는 의견이 많은 듯 하다.
수지가 앤디에게 청소하도록 했으.	수지가 앤디에게 청소하도록 했어.
저항군은 우리에게 우리를 야간에 공습한 데에 대해 대규모 포격을 맞는 것으로 응징을 받았다.	저항군은 우리에게 우리를 야간에 공습한 데 대해 대규모 포격을 맞는 것으로 응징을 받았다.
우리 반에 남동생이 있는 사람은 한명이에요.	우리 반에 남동생이 있는 사람은 한 명이에요.
그는 섣부른 용서는 또다른 패배라고 생각하기 때문에 자신을 중상모략하고 다니는 사람은 거침없이 쳐낸다.	그는 섣부른 용서는 또 다른 패배라고 생각하기 때문에 자신을 중상모략하고 다니는 사람은 거침없이 쳐낸다.
시간이 안맞으니까 만나서 가지말고 너는 너대로 나는 나대로 가서 거기에서 만나자.	시간이 안 맞으니까 만나서 가지 말고 너는 너대로 나는 나대로 가서 거기에서 만나자.
정부는 실업자가 증가하는 데에 대해 개인의 무능력 탓이라고 국민에게 책임을 떠넘기려고 한다.	정부는 실업자가 증가하는 데 대해 개인의 무능력 탓이라고 국민들에게 책임을 떠넘기려 한다.
다음주에 골프핏 시험에 대해 이야기 하겠습니다.	다음 주에 볼 토픽 시험에 관해 이야기하겠습니다.
만나자마자 사랑에 빠진 다는 것은 영화에만 있는 거 아니에요.	만나자마자 사랑에 빠진다는 것은 영화에만 있는 거 아니에요.
잔소리를 해봐야 한 귀로 듣고 한 귀로 흘리는 걸요.	잔소리를 해 봐야 한 귀로 듣고 한 귀로 흘리는걸요.
거짓말을 안해야 해요.	거짓말을 안 해야 해요.
사촌언니가 나에게 시어머니가 왜 그런 말을 하는 지에 대해 미워죽겠다고 하소연을 늘어놓는다.	사촌언니가 나에게 시어머니가 왜 그런 말을 하는지에 대해 미워죽겠다고 하소연을 늘어놓는다.
한국어 시험에 합격하려면 더 열심히 공부했어야 됐어요.	한국어 시험에 합격하려면 더 열심히 공부해야 됐어요.
어릴때부터 성격이 좋았짜나.	어릴 때부터 성격이 좋았잖아.
제가 나갔다 오면서 약을 사다 드릴테니 좀 쉬고 계세요.	제가 나갔다 오면서 약을 사다 드릴 테니 좀 쉬고 계세요.
남아있는 그릇이나 항아리들도 모두 어딘가 한 군데는 이지러져 물건으로 내놓고 팔기에는 적당치 않다.	남아 있는 그릇이나 항아리들도 모두 어딘가 한 군데는 이지러져 물건으로 내놓고 팔기에는 적당치 않다.
지난 주만 같아도 춥지않았는데 오늘은 날씨가 많이 추워졌어요.	지난주만 같아도 춥지 않았는데 오늘은 날씨가 많이 추워졌어요.
태풍 당시 선착장과 방파제 모래가 유실되었으나 복구사업에 필요한 예산 집행이 지연되고있다.	태풍 당시 선착장과 방파제 모래가 유실되었으나 복구사업에 필요한 예산집행이 지연되고 있다.
그돈은 제돈이 아니어서 마음대로 쓸수없습니다.	그 돈은 제 돈이 아니어서 마음대로 쓸 수 없습니다.
면접전에 미리 연습해 두세요.	면접 전에 미리 연습해 두세요.
오늘 운동을 하지않아서인지 소화가 잘안되어요.	오늘 운동을 하지 않아서인지 소화가 잘 안 되어요.
수지는 낮이며 밤이며 열심히 공부를 한다.	수지는 낮이며 밤이며 열심히 공부한다.
매운걸 잘 못 먹기 때문에 떡볶기를 못 먹어요.	매운 걸 잘 못 먹기 때문에 떡볶이를 못 먹어요.
사람이란 겉모습으로 판단해서는 안된다.	사람이란 겉모습만으로 판단해서는 안 된다.
늦게 자서 졸 수 밖에 없어여.	늦게 자서 졸 수밖에 없어요.
수지 씨는 쉬는 시간에 산책을 해요.	수지 씨는 쉬는 사이에 산책해요.
저녁에는 커피를 안 마셔여.	저녁에는 커피를 안 마셔요.
지난번 만났을 때는 귀엽기만 하던 소녀였는데 오늘보니 순이는 아름다운 숙녀로 변모되었다.	지난 번 만났을 때는 귀엽기만 하던 소녀였는데 오늘 보니 순이는 아름다운 숙녀로 변모되었다.
기차가 떠난지 30초 됐어여.	기차가 떠난 지 30초 됐어요.
새책이 아닐경우에 서점에 가서 바꿔달라고 하세요.	새 책이 아닐 때 서점에 가서 바꿔 달라고 하세요.
대사께서는 이제 불교가 세상을 정신적으로 정화하고 사회윤리를 바로 세우는데에 힘써야한다고 말씀하셨습니다.	대사께서는 이제 불교가 세상을 정신적으로 정화하고 사회윤리를 바로 세우는 데 힘써야 한다고 말씀하셨습니다.
지구 온난화로 인해 전체 온도가 점점 높아간다.	지구 온난화로 인해 전체 온도가 점점 높아 간다.
숙제를 안 해갔더니 선생님께서 수업 후에 남아서 숙제 하라고 하셨세요.	숙제를 안 해갔더니 선생님께서 수업 후에 남아서 숙제하라고 하셨어요.
변호사는 판사에게 피고인이 무엇때문에 혐의를 받고있는지에 대해 증거가 불충분하다고 논리를 폈다.	변호사는 판사에게 피고인이 무엇 때문에 혐의를 받고 있는지에 대해 증거가 불충분하다고 논리를 폈다.
이 과자를 한사람에 몇 개씩 줄까요.	이 과자를 한 사람에 몇 개씩 줄까요.
저도 알고는 있는데 중독이 되어서 끊으려야 끊을수가 없어요.	저도 알고는 있는데 중독이 되어서 끊으려야 끊을 수가 없어요.
저는 3년전에 한국노래를 처음 들었어요.	저는 3년 전에 한국 노래를 처음 들었어요.
시험을 못 볼까봐 걱정이에요.	시험을 못 볼까 봐 걱정이에요.
저는 그 일을 밥 선생님과 의논을 하고자 찾아갔습니다.	저는 그 일을 박 선생님과 의논을 하고자 찾아갔습니다.
30 분 정도 기다리니까 주문한 피자가 왔어요.	30분 정도 기다리니까 주문한 피자가 왔어요.
당시 나는 선장으로서 한국주유항에서 철제류 및 건축자재를 상납하여 중동지역으로 수출하고 있었다.	당시 나는 선장으로서 한국 주요항에서 철재류 및 건축자재를 선적하여 중동지역으로 수출하고 있었다.
할머니께서 주신 것을 읽어버렸어요.	할머니께서 주신 것을 잃어버렸어요.
변호사는 판사에게 피고인가 무엇 때문에 혐의를 받고 있는지에 대해 증거가 불충분하다고 논리를 폈다.	변호사는 판사에게 피고인이 무엇 때문에 혐의를 받고 있는지에 대해 증거가 불충분하다고 논리를 폈다.
챔피언은 도전자들로터 챔피언 타이틀에 대해 그 타이틀을 내놓아야 할 때가 되었다고 도전을 받았다.	챔피언은 도전자들로부터 챔피언 타이틀에 대해 그 타이틀을 내놓아야 할 때가 되었다고 도전을 받았다.
국민들에게서 정부에게 복지정책을 수정하는 것에 대해 기존의 정책을 더욱 강화하라는 요구가 있었다.	국민들에게서 정부에게 복지 정책을 수정하는 것에 대해 기존의 정책을 더욱 강화하라는 요구가 있었다.
일기예보에 따라 여행일정을 조정할 계획이에요.	일기예보에 따라 여행 일정을 조정할 계획이에요.
아이가 엄마를 보고 시퍼 했겠세요.	아이가 엄마를 보고 싶어 했겠어요.
아까부터 계속 배가 아파서 침대에 누워야겠어여.	아까부터 계속 배가 아파서 침대에 누워야겠어요.
민수가 겉으로는 좋게 도와주는 척 하지만 속으로는 이번일도 자신도 한몫 챙겨보려는 속셈이 믿바닥에 깔린거야.	민수가 겉으로는 좋게 도와주는 척하지만 속으로는 이번 일로 자신도 한몫 챙겨 보려는 속셈이 밑바닥에 깔린 거야.
입학해서부터 졸업까지 모두 장학금을 받을 수 있습니다.	입학에서부터 졸업까지 모두 장학금을 받을 수 있습니다.
식땅에 사람이 많아요.	식당에 사람이 많아요.
화가 나서 도저히 참으려야 참을 수가 업서요.	화가 나서 도저히 참으려야 참을 수가 없어요.
지영씨가 보는 영화가 재미있어요.	지영 씨가 보는 영화가 재미있어요.
주말이라 영화관에 사람이 많을테니 가지말자.	주말이라 영화관에 사람이 많을 테니 가지 말자.
수지는 오빠와함께 산책을 합니다.	수지는 오빠와 함께 산책합니다.
왕밍씨는 얼굴이 하애서인지 파란색 옷이 잘 어울리는 것 같아여.	왕밍 씨는 얼굴이 하얘서인지 파란색 옷이 잘 어울리는 것 같아요.
봄에 산 옷이 작아여.	봄에 산 옷이 작아요.
이 컴퓨터는 고장났으니까 저 컴퓨터를 쓰세여.	이 컴퓨터는 고장 났으니까 저 컴퓨터를 쓰세요.
아까 전화했더니 갑자기 배탈이 나서 못온대요.	아까 전화했더니 갑자기 배탈이 나서 못 온대요.
그런 짓을 하다니 도저히 용서하려야 할수가 없어요.	그런 짓을 하다니 도저히 용서하려야 할 수가 없어요.
마이클이랑 앤디는 제 친구에여.	마이클이랑 앤디는 제 친구예요.
수지씨가 펜을 삽니다.	수지 씨가 펜을 삽니다.
수지씨한테 전화를 했어요.	수지 씨한테 전화했어요.
누가 뭐라고 주장하던 간에 그 아이는 다른 사람들에게 그 의견을 반문하고 따지는 것을 좋아한다.	누가 뭐라고 주장하든간에 그 아이는 다른 사람들에게 그 의견을 반문하고 따지는 것을 좋아한다.
예전에는 집안 어른들이 여자들에게는 제사상을 진설시키지 않았지만 요즘은 남여 구별이 없이 모두다 참여한다.	예전에는 집안어른들이 여자들에게는 제사상을 진설시키지 않았지만 요즘은 남녀 구별이 없이 모두 다 참여한다.
그는 행동이 좀 우락부락 한 게 좀 탈이지만 그래도 알고 보면 마음은 비단결처럼 고운 사람이다.	그는 행동이 좀 우락부락한 게 탈이지만 그래도 알고 보면 마음은 비단결처럼 고운 사람이다.
동아책에 그림이 적어요.	동화책에 그림이 적어요.
저 사람처럼 운동하면 날씬해 지겠어요.	저 사람처럼 운동하면 날씬해지겠어요.
오해가 없어야겠기에 오늘일을 설명드리러 왔습니다.	오해가 없어야겠기에 오늘 일을 설명해 드리러 왔습니다.
내 누나에게 용돈을 받아요.	저는 누나에게 용돈을 받아요.
이번을 계기로 방만한 에너지 사용에 대하여 깊은 반성을 하고 자연과 에너지를 아끼는 환경친화적 삶의 방식을 가지는 것이 요청된다.	이번을 계기로 방만한 에너지 사용에 대하여 깊은 반성을 하고 자연과 에너지를 아끼는 환경 친화적 삶의 방식을 가지는 것이 요청된다.
열 손가락 깨물어 안 아픈 손가락 없듯이 부모에게 자식은 모두 소중한 거에요.	열 손가락 깨물어 안 아픈 손가락 없듯이 부모에게 자식은 모두 소중한 거예요.
그녀는 싫다고 말 하는 대신에 울어버렸다.	그녀는 싫다고 말하는 대신에 울어 버렸다.
국회는 국민들로부터 국회의원 구속동의안을 부결한 것에 대해 불의를 비유한다고 비판이 있다.	국회는 국민들로부터 국회의원 구속 동의안을 부결한 것에 대해 불의를 비호한다고 비판이 있다.
대학생들은 자격증에 연연할 것이 아니라 자기 전공 과목에서 전문지식을 습득하는 데에 더욱 집중시켜야 합니다.	대학생들은 자격증에 연연할 것이 아니라 자기 전공 과목에서 전문 지식을 습득하는 데 더욱 집중시켜야 합니다.
제가 공책에 안 쓴 것이 있으면 알려주세요.	제가 공책에 안 쓴 것이 있으면 알려 주세요.
정답을 모르겠는 사람은 다시 공부해야해요.	정답을 모르겠는 사람은 다시 공부해야 해요.
부장은 사장에게 일이 끝날때까지는 어떻게 일이 진행되고 있는 지에 대해 따로 보고하지 않아도된다고 승낙을 받았다.	부장은 사장에게 일이 끝날 때까지는 어떻게 일이 진행되고 있는지에 대해 따로 보고하지 않아도 된다고 승낙을 받았다.
내년이면 태권도를 배운지 10년이되여.	내년이면 태권도를 배운 지 10년이 돼요.
김양은 직장 선배 언니에게 자기를 영업부 홍대리와 중매해 달라고 은근히 졸랐다고 한다.	김 양은 직장 선배 언니에게 자기를 영업부 홍 대리와 중매해 달라고 은근히 졸랐다고 한다.
자넨 왜 이마에 팔자를 그리고 앉아있나? 우리가 결정한 것에 대해 뭐 불만이라도 있는 게야?	자넨 왜 이마에 팔 자를 그리고 앉아 있나? 우리가 결정한 것에 뭐 불만이라도 있는 게야?
오랜만에 영화를 보니 정말 재미이썼다.	오랜만에 영화를 보니 정말 재미있었다.
이제 술도 끊게커니와 담배도 시지 않겠습니다.	이제 술도 끊겠거니와 담배도 피우지 않겠습니다.
주말에 영화보러 같이 가요.	주말에 영화 보러 같이 가요.
쥐 한 마리가 이 건물 여기저기에 새끼를 마구 내깔기고 다녀서 몇 마리가 사는지 알 수 없다.	쥐 한마리가 이 건물 여기저기에 새끼를 마구 내깔기고 다녀서 몇 마리가 사는지 알 수 없다.
이사회는 회사를 경영하는 것에 대해 구조 조정을 하는 일이 중요하다고 편견에 사로잡혀 있다.	이사회는 회사를 경영하는 것에 대해 구조조정을 하는 일이 중요하다고 편견에 사로잡혀 있다.
이번에 새로 들어온 신입사원은 사소하게 실수를 한 것도 그냥 지나치지 않고 꼼꼼히 살펴 본다.	이번에 새로 들어온 신입사원은 사소하게 실수를 한 것도 그냥 지나치지 않고 꼼꼼히 살펴본다.
수지씨에 생일이니 제가 생일추카 노래를 불러야겠어여.	수지 씨의 생일이니 제가 생일 축하 노래를 불러야겠어요.
쿠앙씨는 노래를 못 불러여.	쿠앙 씨는 노래를 못 불러요.
수돗물을 생수와 비교해봤더니 물맛은 수돗물이 더 좋은것으로 나타났다.	수돗물을 생수와 비교해 봤더니 물맛은 수돗물이 더 좋은 것으로 나타났다.
저녁밥을 먹고 배가 부르고 보니 저녁 약속이 있었다는 게 생각 났다.	저녁밥을 먹고 배가 부르고 보니 저녁 약속이 있었다는 게 생각났다.
나는 그 사람이랑 사이가 좋지 않아 그 사람에게 부탁하는 것이 껄끄러우니 네가 대신 좀 해줘.	나는 그 사람이랑 사이가 좋지 않아 그 사람에게 부탁하는 것이 깔끄러우니 네가 대신 좀 해 줘.
할머니께서만 저에게 선물을 주셨어여.	할머니께서만 저에게 선물을 주셨어요.
바빠서 여행을 전혀 못가요 어디라도 가기만 해도 좋을 거 같아요.	바빠서 여행을 전혀 못 가요 어디라도 가기만 해도 좋을 거 같아요.
임금은 장군에게 어떻게 유리한 상황에 전쟁에서 패할 수 있었는 가에 대해 자세히 보고하라고 어명을 내렸다.	임금은 장군에게 어떻게 유리한 상황에게 전쟁에서 패할 수 있었는가에 대해 자세히 보고하라고 어명을 내렸다.
흐엉씨는 요즘 바쁘지 않아요.	흐엉 씨는 요즘 바쁘지 않아요.
우리 할아버지는 가을이되면 산에서 밤을 주으세여.	우리 할아버지는 가을이 되면 산에서 밤을 주우세요.
우리 회사는 새로운 사업을 시작하는 데에 대해 계약이 잘 채결되었다고 거래처로부터 통보를 받았다.	우리 회사는 새로운 사업을 시작하는 데 대해 계약이 잘 체결되었다고 거래처로부터 통고를 받았다.
민수 씨는 무슨일이든가 열심히 해요.	민수 씨는 무슨 일이든가 열심히 해요.
그 사람에 대해서 통달을 하게 되면 그 사람과 관련된 일은 무슨일이던지 쉽게 해결할 수 있을 거다.	그 사람에 대해서 통달을 하게 되면 그 사람과 관련된 일은 무슨 일이든지 쉽게 해결할 수 있을 거다.
인사동에 갔는데 한국의 전통물건이 많이 있었어요.	인사동에 갔는데 한국의 전통 물건이 많이 있었어요.
학생들은 어떻게 어려운 미분문제를 풀 것인가에 대해 모두 잘 풀 수 있다고 자신을 가지게 되었다.	학생들은 어떻게 어려운 미분 문제를 풀 것인가에 대해 모두 잘 풀 수 있다고 자신을 가지게 되었다.
왕밍씨도 저처럼 이럴 때 병원에 가세요.	왕밍 씨도 저처럼 이럴 때 병원에 가세요.
감기가 나으면 수영장에 갈 거에요.	감기가 나으면 수영장에 갈 거예요.
몇달이 지나도록 도주한 범인들 못 찾고 있어요.	몇 달이 지나도록 도주한 범인을 못 찾고 있어요.
번갯불이 콩 볶아 먹듯이 과제를 해 치웠어요.	번갯불에 콩 볶아 먹듯이 과제를 해치웠어요.
마이클씨는 키가 큰데다가 얼굴도 잘생겼어요.	마이클 씨는 키가 큰 데다가 얼굴도 잘생겼어요.
딸은 딸대로 예쁘고 아들은 아들대로 예쁘니까 딸을 낳든 아들을 낳든 상관없어요.	딸은 딸대로 예쁘고 아들은 아들 대로 예쁘니까 딸을 낳든 아들을 낳든 상관없어요.
이제 여기 저기 꽃이 많이 피었더군.	이제 여기저기 꽃이 많이 피었더군.
부하들이 장군에게 어떻게 그런 무공을 세웠는지에 대해 잊어서는 안된다고 경의를 표하였다.	부하들이 장군에게 어떻게 그런 무공을 세웠는지에 대해 잊어서는 안 된다고 경의를 표하였다.
밤 늦도록 발표 준비를 했어요.	밤늦도록 발표 준비를 했어요.
7 시에 일어나려고 알람을 맞춰 두었어요.	7시에 일어나려고 알람을 맞춰 두었어요.
4개월의 박람회 기간동안 2천만명 이상이 다녀가면 아름다운 고도 베니스는 제 모습을 잃고 황폐화된다.	4개월의 박람회 기간 동안 2천만 명 이상이 다녀 가면 아름다운 고도 베니스는 제 모습을 잃고 황폐화된다.
앤디씨는 어느 나라 사람이에여.	앤디 씨는 어느 나라 사람이에요.
그 사람은 집을 구하고 있는 사람들에게 이곳은 조만간 대형쇼핑센터가 생긴다고 공갈쳤다.	그 사람은 집을 구하고 있는 사람들에게 이 곳에 조만간 대형 쇼핑센터가 생긴다고 공갈쳤다.
지나가는 사람이 친절하게 가르쳐주었어요.	지나가는 사람이 친절하게 가르쳐 주었어요.
도서관 문이 닫혀가지고 도서관에 못들어갔어요.	도서관 문이 닫혀 가지고 도서관에 못 들어갔어요.
당원 측을 ᄆ쉬하고 탈당한 것에 대해 김 의원은 국민들로부터 철새 정치인이라고 심판을 받을 것이다.	당원칙을 무시하고 탈당한 것에 대해 김의원은 국민들로부터 철새 정치인이라고 심판을 받을 것이다.
줄리아씨는 수업이 끝난 후에 학생식당에서 밥을 먹을꺼에여.	줄리아 씨는 수업이 끝난 후에 학생 식당에서 밥을 먹을 거예요.
아키라씨가 감기가 다 나아가지고 이제 학교에 올 수 있어여.	아키라 씨가 감기가 다 나아 가지고 이제 학교에 올 수 있어요.
면접 전에 미리 연습해두세요.	면접 전에 미리 연습해 두세요.
줄리아씨는 달콤한 것을 좋아해요.	줄리아 씨는 달콤한 것을 좋아해요.
그는 매스컴에 의해 낡은 시대의 사고방식을 가지고 있다고 매도되었지만 기초다지기를 멈추지 않았다.	그는 매스컴에 의해 낡은 시대의 사고방식을 가지고 있다고 매도되었지만 기초 다지기를 멈추지 않았다.
앤디는 백화점에서 쇼핑 했어요.	앤디는 백화점에서 쇼핑했어요.
어제 언니랑 한강에서 운동했어여.	어제 언니랑 한강에서 운동했어요.
그는 그룹 계열사의 하나인 광고대행사 대표이사 자리로 영전돼 새로운 세계로 도전 길에 나섰다.	그는 그룹 계열사의 하나인 광고 대행사 대표이사 자리로 영전돼 새로운 세계로 도전 길에 나섰다.
비가와도 등산하러 갈거에요.	비가 와도 등산하러 갈 거예요.
불륜이나 이혼 등 아침드라마의 자극적인 소재들은 방송사의 시청률지상주의를 잘 드러내고 있다.	불륜이나 이혼 등 아침 드라마의 자극적인 소재들은 방송사의 시청률 지상주의를 잘 드러내고 있다.
수지씨는 누구하고 여행을 갈 거예요.	수지 씨는 누구하고 여행을 갈 거예요.
비행기표를 예매하려고 전화했는데요.	비행기 표를 예매하려고 전화했는데요.
김노인는 자식들이 직접 시중들어주는 것을 좋아해서 양로원에는 절대 가려고 하지 않았다.	김 노인은 자식들이 직접 시중들어 주는 것을 좋아해서 양로원에는 절대 가려고 하지 않았다.
어제옷을 입다가 전화가 와서 전화를 받았어요.	어제 옷을 입다가 전화가 와서 전화를 받았어요.
일부 출판사는 유행에 영합해 함량이 떨어지는 책을 포장만 번드르르 하게 해서 책값만 올리기도 한다.	일부 출판사는 유행에 영합해 함량이 떨어지는 책을 포장만 번드르르하게 해서 책값만 올리기도 한다.
책에다가 도시락까지 넣어서 가방이 무거워 졌어요.	책에다가 도시락까지 넣어서 가방이 무거워졌어요.
줄리아씨는 공부를 열심히 하지 않는데다가 친구와 떠들어요.	줄리아 씨는 공부를 열심히 하지 않는 데다가 친구와 떠들어요.
머리를 짧게 잘랐더니 사람들이 무슨일있냐고 물어보았다.	머리를 짧게 잘랐더니 사람들이 무슨 일 있냐고 물어보았다.
저는 기숙사에서 살다가 지난 주에 하숙집으로 이사했습니다.	저는 기숙사에서 살다가 지난주에 하숙집으로 이사했습니다.
영수씨가 시험에 합격했음이 확실해요.	영수 씨가 시험에 합격했음이 확실해요.
유미씨는 운전할수 있어요.	유미 씨는 운전할 수 있어요.
줄리아씨는 한국 친구들이 많아서인지 한국어를 잘해요.	줄리아 씨는 한국 친구들이 많아서인지 한국어를 잘해요.
아직 연회비를 내지 않으신 회원들께서는 다음의 은행계좌로 회비를 납입해 주시기 바랍니다.	아직 연회비를 내지 않으신 회원들께서는 다음의 은행 계좌로 회비를 납입해 주시기 바랍니다.
내일 회의실은 2층으로 예약해놓았으니까 준비해주세요.	내일 회의실은 2층으로 예약해 놓았으니까 준비해 주세요.
저 애는 그렇게 공부를 잘 했었는데 어려서 시집 가 시부모님 밑에서 시집살이 하느라 학업에 꿈을 접어야 했다.	저 애는 그렇게 공부를 잘했었는데 어려서 시집가 시부모님 밑에서 시집살이하느라 학업의 꿈을 접어야 했다.
